Room,Tag Number,Description,Manufacturer,Model,Serial Number,VCI N/A,Asset N/A
Offsite,V1807C11376,Chromebook,Acer,C738T,NXG55AA010720074A97600,V1807C11376,Asset N/A
Offsite,V1807C11335,Chromebook,Acer,C738T,NXG55AA010720074AB7600,V1807C11335,Asset N/A
Offsite,V1807C11342,Chromebook,Acer,C738T,NXG55AA010720074AC7600,V1807C11342,Asset N/A
Offsite,V1807C11338,Chromebook,Acer,C738T,NXG55AA010720074AD7600,V1807C11338,Asset N/A
Offsite,V1807C11260,Chromebook,Acer,C738T,NXG55AA010720074AF7600,V1807C11260,Asset N/A
Offsite,V1807C11261,Chromebook,Acer,C738T,NXG55AA010720074B07600,V1807C11261,Asset N/A
Offsite,V1807C11256,Chromebook,Acer,C738T,NXG55AA010720074B17600,V1807C11256,Asset N/A
Offsite,V1807C11339,Chromebook,Acer,C738T,NXG55AA010720074B47600,V1807C11339,Asset N/A
Offsite,V1807C11387,Chromebook,Acer,C738T,NXG55AA010720074B57600,V1807C11387,Asset N/A
Offsite,V1807C11380,Chromebook,Acer,C738T,NXG55AA010720074B77600,V1807C11380,Asset N/A
Offsite,V1807C11368,Chromebook,Acer,C738T,NXG55AA010720074BA7600,V1807C11368,Asset N/A
Offsite,V1807C11392,Chromebook,Acer,C738T,NXG55AA010720074BC7600,V1807C11392,Asset N/A
Offsite,V1807C11294,Chromebook,Acer,C738T,NXG55AA010720074BD7600,V1807C11294,Asset N/A
Offsite,V1807C11334,Chromebook,Acer,C738T,NXG55AA010720074BE7600,V1807C11334,Asset N/A
Offsite,V1807C11344,Chromebook,Acer,C738T,NXG55AA010720074BF7600,V1807C11344,Asset N/A
Offsite,V1807C11266,Chromebook,Acer,C738T,NXG55AA010720074C07600,V1807C11266,Asset N/A
Offsite,V1807C11252,Chromebook,Acer,C738T,NXG55AA010720074C17600,V1807C11252,Asset N/A
Offsite,V1807C11271,Chromebook,Acer,C738T,NXG55AA010720074C37600,V1807C11271,Asset N/A
Offsite,V1807C11346,Chromebook,Acer,C738T,NXG55AA010720074C47600,V1807C11346,Asset N/A
Offsite,V1807C11289,Chromebook,Acer,C738T,NXG55AA010720074C57600,V1807C11289,Asset N/A
Offsite,V1807C11265,Chromebook,Acer,C738T,NXG55AA010720074C67600,V1807C11265,Asset N/A
Offsite,V1807C11382,Chromebook,Acer,C738T,NXG55AA010720074C77600,V1807C11382,Asset N/A
Offsite,V1807C11293,Chromebook,Acer,C738T,NXG55AA010720074C87600,V1807C11293,Asset N/A
Offsite,V1807C11391,Chromebook,Acer,C738T,NXG55AA010720074CB7600,V1807C11391,Asset N/A
Offsite,V1807C11354,Chromebook,Acer,C738T,NXG55AA010720074CC7600,V1807C11354,Asset N/A
Offsite,V1807C11288,Chromebook,Acer,C738T,NXG55AA010720074CD7600,V1807C11288,Asset N/A
Offsite,V1807C11351,Chromebook,Acer,C738T,NXG55AA010720074CF7600,V1807C11351,Asset N/A
Offsite,V1807C11369,Chromebook,Acer,C738T,NXG55AA010720074D07600,V1807C11369,Asset N/A
Offsite,V1807C11297,Chromebook,Acer,C738T,NXG55AA010720074D17600,V1807C11297,Asset N/A
Offsite,V1807C11292,Chromebook,Acer,C738T,NXG55AA010720074D27600,V1807C11292,Asset N/A
Offsite,V1807C11286,Chromebook,Acer,C738T,NXG55AA010720074D37600,V1807C11286,Asset N/A
Offsite,V1807C11313,Chromebook,Acer,C738T,NXG55AA010720074D47600,V1807C11313,Asset N/A
Offsite,V1807C11310,Chromebook,Acer,C738T,NXG55AA010720074D57600,V1807C11310,Asset N/A
Offsite,V1807C11350,Chromebook,Acer,C738T,NXG55AA010720074D67600,V1807C11350,Asset N/A
Offsite,V1807C11394,Chromebook,Acer,C738T,NXG55AA010720074D77600,V1807C11394,Asset N/A
Offsite,V1807C11353,Chromebook,Acer,C738T,NXG55AA010720074D87600,V1807C11353,Asset N/A
Offsite,V1807C11386,Chromebook,Acer,C738T,NXG55AA010720074D97600,V1807C11386,Asset N/A
Offsite,V1807C11253,Chromebook,Acer,C738T,NXG55AA010720074DA7600,V1807C11253,Asset N/A
Offsite,V1807C11341,Chromebook,Acer,C738T,NXG55AA010720074DB7600,V1807C11341,Asset N/A
Offsite,V1807C11273,Chromebook,Acer,C738T,NXG55AA010720074DC7600,V1807C11273,Asset N/A
Offsite,V1807C11272,Chromebook,Acer,C738T,NXG55AA010720074DD7600,V1807C11272,Asset N/A
Offsite,V1807C11311,Chromebook,Acer,C738T,NXG55AA010720074DE7600,V1807C11311,Asset N/A
Offsite,V1807C11324,Chromebook,Acer,C738T,NXG55AA010720074DF7600,V1807C11324,Asset N/A
Offsite,V1807C11326,Chromebook,Acer,C738T,NXG55AA010720074E07600,V1807C11326,Asset N/A
Offsite,V1807C11320,Chromebook,Acer,C738T,NXG55AA010720074E17600,V1807C11320,Asset N/A
Offsite,V1807C11296,Chromebook,Acer,C738T,NXG55AA010720074E37600,V1807C11296,Asset N/A
Offsite,V1807C11312,Chromebook,Acer,C738T,NXG55AA010720074E47600,V1807C11312,Asset N/A
Offsite,V1807C11323,Chromebook,Acer,C738T,NXG55AA010720074E57600,V1807C11323,Asset N/A
Offsite,V1807C11325,Chromebook,Acer,C738T,NXG55AA010720074E67600,V1807C11325,Asset N/A
Offsite,V1807C11322,Chromebook,Acer,C738T,NXG55AA010720074E77600,V1807C11322,Asset N/A
Offsite,V1807C11309,Chromebook,Acer,C738T,NXG55AA010720074E87600,V1807C11309,Asset N/A
Offsite,V1807C11370,Chromebook,Acer,C738T,NXG55AA010720074E97600,V1807C11370,Asset N/A
Offsite,V1807C12197,Chromebook,Acer,C738T,NXG55AA010720074EB7600,V1807C12197,Asset N/A
Offsite,V1807C11317,Chromebook,Acer,C738T,NXG55AA010720074EC7600,V1807C11317,Asset N/A
Offsite,V1807C11306,Chromebook,Acer,C738T,NXG55AA010720074ED7600,V1807C11306,Asset N/A
Offsite,V1807C11371,Chromebook,Acer,C738T,NXG55AA010720074EF7600,V1807C11371,Asset N/A
Offsite,V1807C11393,Chromebook,Acer,C738T,NXG55AA010720074F07600,V1807C11393,Asset N/A
Offsite,V1807C11295,Chromebook,Acer,C738T,NXG55AA010720074F17600,V1807C11295,Asset N/A
Offsite,V1807C11381,Chromebook,Acer,C738T,NXG55AA010720074F27600,V1807C11381,Asset N/A
Offsite,V1807C11254,Chromebook,Acer,C738T,NXG55AA010720074F47600,V1807C11254,Asset N/A
Offsite,V1807C12143,Chromebook,Acer,C738T,NXG55AA010720074F57600,V1807C12143,Asset N/A
Offsite,V1807C12144,Chromebook,Acer,C738T,NXG55AA010720074F67600,V1807C12144,Asset N/A
Offsite,V1807C11316,Chromebook,Acer,C738T,NXG55AA010720074F77600,V1807C11316,Asset N/A
Offsite,V1807C11389,Chromebook,Acer,C738T,NXG55AA010720074F87600,V1807C11389,Asset N/A
Offsite,V1807C11299,Chromebook,Acer,C738T,NXG55AA010720074F97600,V1807C11299,Asset N/A
Offsite,V1807C11300,Chromebook,Acer,C738T,NXG55AA010720074FB7600,V1807C11300,Asset N/A
Offsite,V1807C12273,Chromebook,Acer,C738T,NXG55AA010720074FD7600,V1807C12273,Asset N/A
Offsite,V1807C12275,Chromebook,Acer,C738T,NXG55AA010720074FE7600,V1807C12275,Asset N/A
Offsite,V1807C12145,Chromebook,Acer,C738T,NXG55AA010720074FF7600,V1807C12145,Asset N/A
Offsite,V1807C12229,Chromebook,Acer,C738T,NXG55AA010720075017600,V1807C12229,Asset N/A
Offsite,V1807C12272,Chromebook,Acer,C738T,NXG55AA010720075027600,V1807C12272,Asset N/A
Offsite,V1807C12146,Chromebook,Acer,C738T,NXG55AA010720075047600,V1807C12146,Asset N/A
Offsite,V1807C11318,Chromebook,Acer,C738T,NXG55AA010720075057600,V1807C11318,Asset N/A
Offsite,V1807C12208,Chromebook,Acer,C738T,NXG55AA010720075077600,V1807C12208,Asset N/A
Offsite,V1807C11298,Chromebook,Acer,C738T,NXG55AA010720075087600,V1807C11298,Asset N/A
Offsite,V1807C11319,Chromebook,Acer,C738T,NXG55AA0107200750A7600,V1807C11319,Asset N/A
Offsite,V1807C11315,Chromebook,Acer,C738T,NXG55AA0107200750B7600,V1807C11315,Asset N/A
Offsite,V1807C12198,Chromebook,Acer,C738T,NXG55AA0107200750C7600,V1807C12198,Asset N/A
Offsite,V1807C12287,Chromebook,Acer,C738T,NXG55AA0107200750D7600,V1807C12287,Asset N/A
Offsite,V1807C12148,Chromebook,Acer,C738T,NXG55AA0107200750E7600,V1807C12148,Asset N/A
Offsite,V1807C12132,Chromebook,Acer,C738T,NXG55AA010720075107600,V1807C12132,Asset N/A
Offsite,V1807C12129,Chromebook,Acer,C738T,NXG55AA010720075117600,V1807C12129,Asset N/A
Offsite,V1807C12196,Chromebook,Acer,C738T,NXG55AA010720075187600,V1807C12196,Asset N/A
Offsite,V1807C12133,Chromebook,Acer,C738T,NXG55AA010720075197600,V1807C12133,Asset N/A
Offsite,V1807C12194,Chromebook,Acer,C738T,NXG55AA0107200751C7600,V1807C12194,Asset N/A
Offsite,V1807C12297,Chromebook,Acer,C738T,NXG55AA010720075207600,V1807C12297,Asset N/A
Offsite,V1807C12142,Chromebook,Acer,C738T,NXG55AA010720075217600,V1807C12142,Asset N/A
Offsite,V1807C12131,Chromebook,Acer,C738T,NXG55AA010720075237600,V1807C12131,Asset N/A
Offsite,V1807C12199,Chromebook,Acer,C738T,NXG55AA010720075247600,V1807C12199,Asset N/A
Offsite,V1807C11304,Chromebook,Acer,C738T,NXG55AA0107200752C7600,V1807C11304,Asset N/A
Offsite,V1807C6770,Chromebook,Acer,C738T,NXG55AA01072008A0B7600,V1807C6770,Asset N/A
Offsite,V1807C6191,Chromebook,Acer,C738T,NXG55AA01072316F617600,V1807C6191,Asset N/A
Offsite,V1807C6557,Chromebook,Acer,C738T,NXG55AA01072319E697600,V1807C6557,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01072319FA57600,V1807C3184,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171B1547600,V1812C20406,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171B2587600,V1812C20391,Asset N/A
Offsite,V1807C12091,Chromebook,Acer,C738T,NXG55AA0108171B2637600,V1807C12091,Asset N/A
Offsite,V1807C12090,Chromebook,Acer,C738T,NXG55AA0108171B2AA7600,V1807C12090,Asset N/A
Offsite,V1807C12006,Chromebook,Acer,C738T,NXG55AA0108171B2AD7600,V1807C12006,Asset N/A
Offsite,V1807C12086,Chromebook,Acer,C738T,NXG55AA0108171B2B57600,V1807C12086,Asset N/A
Offsite,V1807C12062,Chromebook,Acer,C738T,NXG55AA0108171B2CD7600,V1807C12062,Asset N/A
Offsite,V1807C12085,Chromebook,Acer,C738T,NXG55AA0108171B3007600,V1807C12085,Asset N/A
Offsite,V1807C12029,Chromebook,Acer,C738T,NXG55AA0108171B3257600,V1807C12029,Asset N/A
Offsite,V1807C12045,Chromebook,Acer,C738T,NXG55AA0108171B5047600,V1807C12045,Asset N/A
Offsite,V1807C12000,Chromebook,Acer,C738T,NXG55AA0108171B5647600,V1807C12000,Asset N/A
Offsite,V1807C12099,Chromebook,Acer,C738T,NXG55AA0108171DA2D7600,V1807C12099,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DA797600,V1812C20396,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DA877600,V1807C12059,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DAB37600,V1812C20405,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DABF7600,V1812C20402,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DAC67600,V1812C20411,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DAEA7600,V1812C20390,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB057600,V1812C20385,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB087600,V1812C20401,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB257600,V1812C20389,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB357600,V1812C20457,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB657600,V1807C12068,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB897600,V1812C20388,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB8B7600,V1812C20392,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB927600,V1812C20393,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DB947600,V1812C20395,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DBA17600,V1812C20384,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DBC87600,V1807C11999,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC287600,V1807C12046,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC3A7600,V1807C12089,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC3D7600,V1807C12004,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC427600,V1807C12080,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC487600,V1807C12001,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC497600,V1807C12064,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC4C7600,V1807C12178,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC527600,V1807C12036,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC547600,V1807C12038,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DC6D7600,V1807C12047,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DCA17600,V1807C12149,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DD257600,V1807C12092,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DDE97600,V1807C12170,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DDFD7600,V1807C12081,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE007600,V1807C12115,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE047600,V1807C12175,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE097600,V1807C12088,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE0B7600,V1807C12087,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE107600,V1807C12093,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE137600,V1807C12104,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE147600,V1807C12105,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE157600,V1807C12024,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE177600,V1807C12166,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE2D7600,V1807C12066,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE4D7600,V1807C12067,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE707600,V1807C12007,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE727600,V1807C12079,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE7A7600,V1807C12118,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE877600,V1807C12113,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE927600,V1807C12172,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE987600,V1807C12065,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE9C7600,V1807C12116,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DE9F7600,V1807C12163,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEA17600,V1807C12003,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEA47600,V1807C12043,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEAC7600,V1807C12111,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEAF7600,V1807C12061,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEBA7600,V1807C12022,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEC07600,V1807C12005,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEC47600,V1807C12002,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DEC87600,V1807C12117,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171DECE7600,V1807C12169,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6897600,V1807C12094,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F68A7600,V1807C12023,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F68D7600,V1807C12171,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F68E7600,V1807C12021,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F68F7600,V1807C12069,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6907600,V1807C12082,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6927600,V1807C12048,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6947600,V1807C12063,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6987600,V1807C12060,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F69D7600,V1807C12096,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F69F7600,V1807C12114,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6A07600,V1807C12168,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6A57600,V1807C12039,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6AA7600,V1807C12095,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6AB7600,V1807C12110,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6AF7600,V1807C12020,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6B67600,V1807C12167,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6B77600,V1807C12044,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6B87600,V1807C12027,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6BF7600,V1807C12042,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6C17600,V1807C12112,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6C27600,V1807C12173,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6C37600,V1807C12040,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6C67600,V1807C12176,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6C87600,V1807C12600,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6CA7600,V1807C12083,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6CB7600,V1807C12025,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6CD7600,V1807C12019,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6CE7600,V1807C12098,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6CF7600,V1807C12041,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F6D37600,V1807C12097,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171F9057600,V1807C12349,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171FA8D7600,V1807C12311,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171FFA87600,V1807C9524,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108171FFBA7600,V1807C12317,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817238457600,V1812C20409,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817238C27600,V1812C20387,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817239087600,V1812C20400,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108172391A7600,V1812C20398,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108172392B7600,V1812C20407,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108172392D7600,V1812C20394,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817239307600,V1812C20403,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817239327600,V1812C20399,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108172393E7600,V1812C20383,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108172394B7600,V1812C20404,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108172394F7600,V1812C20397,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817239527600,V1812C20408,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817239607600,V1812C20410,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010817239777600,V1812C20386,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180089E7600,V1807C12414,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818008D67600,V1807C12372,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818008FF7600,V1807C12052,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818009507600,V1807C12325,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180096B7600,V1807C12359,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818009707600,V1807C12420,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818009AB7600,V1807C12334,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818009B17600,V1807C12373,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A1D7600,V1807C12385,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A217600,V1807C12330,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A387600,V1807C12412,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A4E7600,V1807C12380,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A557600,V1807C12444,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A5D7600,V1807C12303,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A617600,V1807C12326,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A767600,V1807C12364,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A807600,V1807C12424,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A827600,V1807C12413,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A8F7600,V1807C12407,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A917600,V1807C12331,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A927600,V1807C12357,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A947600,V1807C12438,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A957600,V1807C12402,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A967600,V1807C12384,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A987600,V1807C12300,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800A9C7600,V1807C12426,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AA37600,V1807C12316,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AA47600,V1807C11645,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AA67600,V1807C12423,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AA77600,V1807C12339,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AA87600,V1807C12358,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AAA7600,V1807C12391,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AAC7600,V1807C12400,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ABE7600,V1807C12401,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AC17600,V1807C12381,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AC37600,V1807C12428,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AC67600,V1807C12389,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ACB7600,V1807C12299,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ACD7600,V1807C12035,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ACF7600,V1807C12127,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AD17600,V1807C12440,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AD97600,V1807C12383,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ADA7600,V1807C12403,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ADB7600,V1807C12447,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ADD7600,V1807C12315,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ADE7600,V1807C12382,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800ADF7600,V1807C12406,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE17600,V1807C12350,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE27600,V1807C12324,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE37600,V1807C12354,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE57600,V1807C12408,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE67600,V1807C12445,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE87600,V1807C12411,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AE97600,V1807C12301,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AEB7600,V1807C12446,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AEC7600,V1807C12314,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AF17600,V1807C12392,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AF27600,V1807C12448,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AF47600,V1807C12410,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AF67600,V1807C12409,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AF77600,V1807C12371,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800AFB7600,V1807C12399,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B007600,V1807C12377,Asset N/A
