Room,Tag Number,Description,Manufacturer,Model,Serial Number,VCI N/A,Asset N/A
Offsite,V1807C11247,Chromebook,Acer,C738T,NXG55AA010650246B17600,V1807C11247,Asset N/A
Offsite,V1807C11276,Chromebook,Acer,C738T,NXG55AA010650246B77600,V1807C11276,Asset N/A
Offsite,V1807C12294,Chromebook,Acer,C738T,NXG55AA010650246B97600,V1807C12294,Asset N/A
Offsite,V1807C12189,Chromebook,Acer,C738T,NXG55AA010650246BA7600,V1807C12189,Asset N/A
Offsite,V1807C12730,Chromebook,Acer,C738T,NXG55AA010650246BB7600,V1807C12730,Asset N/A
Offsite,V1807C11333,Chromebook,Acer,C738T,NXG55AA010650246BC7600,V1807C11333,Asset N/A
Offsite,V1807C11264,Chromebook,Acer,C738T,NXG55AA010650246BF7600,V1807C11264,Asset N/A
Offsite,V1807C11331,Chromebook,Acer,C738T,NXG55AA010650246C07600,V1807C11331,Asset N/A
Offsite,V1807C11321,Chromebook,Acer,C738T,NXG55AA010650246C17600,V1807C11321,Asset N/A
Offsite,V1807C11290,Chromebook,Acer,C738T,NXG55AA010650246C27600,V1807C11290,Asset N/A
Offsite,V1807C11291,Chromebook,Acer,C738T,NXG55AA010650246C37600,V1807C11291,Asset N/A
Offsite,V1807C11249,Chromebook,Acer,C738T,NXG55AA010650246C47600,V1807C11249,Asset N/A
Offsite,V1807C12140,Chromebook,Acer,C738T,NXG55AA010650246C57600,V1807C12140,Asset N/A
Offsite,V1807C11274,Chromebook,Acer,C738T,NXG55AA010650246C67600,V1807C11274,Asset N/A
Offsite,V1807C11282,Chromebook,Acer,C738T,NXG55AA010650246C77600,V1807C11282,Asset N/A
Offsite,V1807C11374,Chromebook,Acer,C738T,NXG55AA010650246C97600,V1807C11374,Asset N/A
Offsite,V1807C11365,Chromebook,Acer,C738T,NXG55AA010650246CC7600,V1807C11365,Asset N/A
Offsite,V1807C11283,Chromebook,Acer,C738T,NXG55AA010650246CD7600,V1807C11283,Asset N/A
Offsite,V1807C11262,Chromebook,Acer,C738T,NXG55AA010650246CE7600,V1807C11262,Asset N/A
Offsite,V1807C11250,Chromebook,Acer,C738T,NXG55AA010650246CF7600,V1807C11250,Asset N/A
Offsite,V1807C11248,Chromebook,Acer,C738T,NXG55AA010650246D07600,V1807C11248,Asset N/A
Offsite,V1807C11246,Chromebook,Acer,C738T,NXG55AA010650246D17600,V1807C11246,Asset N/A
Offsite,V1807C11275,Chromebook,Acer,C738T,NXG55AA010650246D27600,V1807C11275,Asset N/A
Offsite,V1807C12078,Chromebook,Acer,C738T,NXG55AA010650246D37600,V1807C12078,Asset N/A
Offsite,V1807C12230,Chromebook,Acer,C738T,NXG55AA010650246D47600,V1807C12230,Asset N/A
Offsite,V1807C12291,Chromebook,Acer,C738T,NXG55AA010650246D57600,V1807C12291,Asset N/A
Offsite,V1807C12247,Chromebook,Acer,C738T,NXG55AA010650246D67600,V1807C12247,Asset N/A
Offsite,V1807C12261,Chromebook,Acer,C738T,NXG55AA010650246D87600,V1807C12261,Asset N/A
Offsite,V1807C11277,Chromebook,Acer,C738T,NXG55AA010650246D97600,V1807C11277,Asset N/A
Offsite,V1807C11278,Chromebook,Acer,C738T,NXG55AA010650246DC7600,V1807C11278,Asset N/A
Offsite,V1807C12137,Chromebook,Acer,C738T,NXG55AA010650246DD7600,V1807C12137,Asset N/A
Offsite,V1807C12138,Chromebook,Acer,C738T,NXG55AA010650246DF7600,V1807C12138,Asset N/A
Offsite,V1807C12233,Chromebook,Acer,C738T,NXG55AA010650246E17600,V1807C12233,Asset N/A
Offsite,V1807C12231,Chromebook,Acer,C738T,NXG55AA010650246E27600,V1807C12231,Asset N/A
Offsite,V1807C12077,Chromebook,Acer,C738T,NXG55AA010650246E37600,V1807C12077,Asset N/A
Offsite,V1807C12263,Chromebook,Acer,C738T,NXG55AA010650246E47600,V1807C12263,Asset N/A
Offsite,V1807C12264,Chromebook,Acer,C738T,NXG55AA010650246E57600,V1807C12264,Asset N/A
Offsite,V1807C12265,Chromebook,Acer,C738T,NXG55AA010650246E77600,V1807C12265,Asset N/A
Offsite,V1807C12260,Chromebook,Acer,C738T,NXG55AA010650246E97600,V1807C12260,Asset N/A
Offsite,V1807C12218,Chromebook,Acer,C738T,NXG55AA010650246EB7600,V1807C12218,Asset N/A
Offsite,V1807C12216,Chromebook,Acer,C738T,NXG55AA010650246EC7600,V1807C12216,Asset N/A
Offsite,V1807C12217,Chromebook,Acer,C738T,NXG55AA010650246F17600,V1807C12217,Asset N/A
Offsite,V1807C11404,Chromebook,Acer,C738T,NXG55AA010716017F57600,V1807C11404,Asset N/A
Offsite,V1807C11436,Chromebook,Acer,C738T,NXG55AA010716018787600,V1807C11436,Asset N/A
Offsite,V1807C11484,Chromebook,Acer,C738T,NXG55AA010716018797600,V1807C11484,Asset N/A
Offsite,V1807C11449,Chromebook,Acer,C738T,NXG55AA010716018857600,V1807C11449,Asset N/A
Offsite,V1807C11403,Chromebook,Acer,C738T,NXG55AA010716018957600,V1807C11403,Asset N/A
Offsite,V1807C11482,Chromebook,Acer,C738T,NXG55AA010716018B17600,V1807C11482,Asset N/A
Offsite,V1807C11480,Chromebook,Acer,C738T,NXG55AA010716018B47600,V1807C11480,Asset N/A
Offsite,V1807C11481,Chromebook,Acer,C738T,NXG55AA010716018D47600,V1807C11481,Asset N/A
Offsite,V1807C11457,Chromebook,Acer,C738T,NXG55AA01071601C127600,V1807C11457,Asset N/A
Offsite,V1807C11417,Chromebook,Acer,C738T,NXG55AA01071601C9A7600,V1807C11417,Asset N/A
Offsite,V1807C11414,Chromebook,Acer,C738T,NXG55AA01071601D3D7600,V1807C11414,Asset N/A
Offsite,V1807C11475,Chromebook,Acer,C738T,NXG55AA01071601D3E7600,V1807C11475,Asset N/A
Offsite,V1807C11458,Chromebook,Acer,C738T,NXG55AA01071601D607600,V1807C11458,Asset N/A
Offsite,V1807C11399,Chromebook,Acer,C738T,NXG55AA01071601D6A7600,V1807C11399,Asset N/A
Offsite,V1807C11397,Chromebook,Acer,C738T,NXG55AA01071601DE57600,V1807C11397,Asset N/A
Offsite,V1807C12706,Chromebook,Acer,C738T,NXG55AA01071601DF07600,V1807C12706,Asset N/A
Offsite,V1807C12703,Chromebook,Acer,C738T,NXG55AA01071601E0C7600,V1807C12703,Asset N/A
Offsite,V1807C11416,Chromebook,Acer,C738T,NXG55AA01071601E2A7600,V1807C11416,Asset N/A
Offsite,V1807C12729,Chromebook,Acer,C738T,NXG55AA01071601E427600,V1807C12729,Asset N/A
Offsite,V1807C12705,Chromebook,Acer,C738T,NXG55AA01071601E437600,V1807C12705,Asset N/A
Offsite,V1807C11402,Chromebook,Acer,C738T,NXG55AA01071601E447600,V1807C11402,Asset N/A
Offsite,V1807C11524,Chromebook,Acer,C738T,NXG55AA01071601E677600,V1807C11524,Asset N/A
Offsite,V1807C11410,Chromebook,Acer,C738T,NXG55AA01071601E7A7600,V1807C11410,Asset N/A
Offsite,V1807C11411,Chromebook,Acer,C738T,NXG55AA01071601EAB7600,V1807C11411,Asset N/A
Offsite,V1807C11398,Chromebook,Acer,C738T,NXG55AA01071601EC67600,V1807C11398,Asset N/A
Offsite,V1807C11437,Chromebook,Acer,C738T,NXG55AA01071601ED07600,V1807C11437,Asset N/A
Offsite,V1807C11522,Chromebook,Acer,C738T,NXG55AA01071601ED67600,V1807C11522,Asset N/A
Offsite,V1807C11413,Chromebook,Acer,C738T,NXG55AA01071601ED77600,V1807C11413,Asset N/A
Offsite,V1807C11442,Chromebook,Acer,C738T,NXG55AA01071601EFF7600,V1807C11442,Asset N/A
Offsite,V1807C11450,Chromebook,Acer,C738T,NXG55AA01071601F117600,V1807C11450,Asset N/A
Offsite,V1807C11412,Chromebook,Acer,C738T,NXG55AA01071601F137600,V1807C11412,Asset N/A
Offsite,V1807C11408,Chromebook,Acer,C738T,NXG55AA01071601F2C7600,V1807C11408,Asset N/A
Offsite,V1807C11396,Chromebook,Acer,C738T,NXG55AA01071601F2F7600,V1807C11396,Asset N/A
Offsite,V1807C11438,Chromebook,Acer,C738T,NXG55AA01071601F317600,V1807C11438,Asset N/A
Offsite,V1807C11514,Chromebook,Acer,C738T,NXG55AA01071601F417600,V1807C11514,Asset N/A
Offsite,V1807C11523,Chromebook,Acer,C738T,NXG55AA01071601F487600,V1807C11523,Asset N/A
Offsite,V1807C11407,Chromebook,Acer,C738T,NXG55AA01071601F4E7600,V1807C11407,Asset N/A
Offsite,V1807C11420,Chromebook,Acer,C738T,NXG55AA01071601F507600,V1807C11420,Asset N/A
Offsite,V1807C11395,Chromebook,Acer,C738T,NXG55AA01071601F527600,V1807C11395,Asset N/A
Offsite,V1807C11435,Chromebook,Acer,C738T,NXG55AA01071601F537600,V1807C11435,Asset N/A
Offsite,V1807C11520,Chromebook,Acer,C738T,NXG55AA01071601F577600,V1807C11520,Asset N/A
Offsite,V1807C11440,Chromebook,Acer,C738T,NXG55AA01071601F587600,V1807C11440,Asset N/A
Offsite,V1807C11421,Chromebook,Acer,C738T,NXG55AA01071601F5B7600,V1807C11421,Asset N/A
Offsite,V1807C11476,Chromebook,Acer,C738T,NXG55AA01071601F5E7600,V1807C11476,Asset N/A
Offsite,V1807C11483,Chromebook,Acer,C738T,NXG55AA01071601F617600,V1807C11483,Asset N/A
Offsite,V1807C11423,Chromebook,Acer,C738T,NXG55AA01071601F627600,V1807C11423,Asset N/A
Offsite,V1807C11455,Chromebook,Acer,C738T,NXG55AA01071601F667600,V1807C11455,Asset N/A
Offsite,V1807C11419,Chromebook,Acer,C738T,NXG55AA01071601F677600,V1807C11419,Asset N/A
Offsite,V1807C11461,Chromebook,Acer,C738T,NXG55AA01071601F687600,V1807C11461,Asset N/A
Offsite,V1807C11441,Chromebook,Acer,C738T,NXG55AA01071601F6B7600,V1807C11441,Asset N/A
Offsite,V1807C11463,Chromebook,Acer,C738T,NXG55AA01071601F6C7600,V1807C11463,Asset N/A
Offsite,V1807C11542,Chromebook,Acer,C738T,NXG55AA01071601F737600,V1807C11542,Asset N/A
Offsite,V1807C11405,Chromebook,Acer,C738T,NXG55AA01071601F757600,V1807C11405,Asset N/A
Offsite,V1807C11422,Chromebook,Acer,C738T,NXG55AA01071601F767600,V1807C11422,Asset N/A
Offsite,V1807C11459,Chromebook,Acer,C738T,NXG55AA01071601F777600,V1807C11459,Asset N/A
Offsite,V1807C11456,Chromebook,Acer,C738T,NXG55AA01071601F787600,V1807C11456,Asset N/A
Offsite,V1807C11466,Chromebook,Acer,C738T,NXG55AA01071601F7B7600,V1807C11466,Asset N/A
Offsite,V1807C11409,Chromebook,Acer,C738T,NXG55AA01071601F7F7600,V1807C11409,Asset N/A
Offsite,V1807C11454,Chromebook,Acer,C738T,NXG55AA01071601F837600,V1807C11454,Asset N/A
Offsite,V1807C11400,Chromebook,Acer,C738T,NXG55AA01071601F887600,V1807C11400,Asset N/A
Offsite,V1807C11439,Chromebook,Acer,C738T,NXG55AA01071601F897600,V1807C11439,Asset N/A
Offsite,V1807C11418,Chromebook,Acer,C738T,NXG55AA01071601F8A7600,V1807C11418,Asset N/A
Offsite,V1807C11401,Chromebook,Acer,C738T,NXG55AA01071601F8F7600,V1807C11401,Asset N/A
Offsite,V1807C11460,Chromebook,Acer,C738T,NXG55AA01071601F917600,V1807C11460,Asset N/A
Offsite,V1807C11462,Chromebook,Acer,C738T,NXG55AA01071601F997600,V1807C11462,Asset N/A
Offsite,V1807C11465,Chromebook,Acer,C738T,NXG55AA01071601FA47600,V1807C11465,Asset N/A
Offsite,V1807C11424,Chromebook,Acer,C738T,NXG55AA01071601FAD7600,V1807C11424,Asset N/A
Offsite,V1807C12467,Chromebook,Acer,C738T,NXG55AA0107191FBA27600,V1807C12467,Asset N/A
Offsite,V1807C12499,Chromebook,Acer,C738T,NXG55AA0107191FC0F7600,V1807C12499,Asset N/A
Offsite,V1807C12514,Chromebook,Acer,C738T,NXG55AA0107191FC2D7600,V1807C12514,Asset N/A
Offsite,V1807C12495,Chromebook,Acer,C738T,NXG55AA0107191FC3A7600,V1807C12495,Asset N/A
Offsite,V1807C12533,Chromebook,Acer,C738T,NXG55AA0107191FC3F7600,V1807C12533,Asset N/A
